time,yaw,pitch,roll
48:01.8,2.81,-1.6,-1.91
48:01.9,2.82,-1.62,-1.99
48:02.0,2.81,-1.57,-1.92
48:02.1,2.81,-1.37,-1.8
48:02.2,2.8,-1.07,-1.75
48:02.3,2.79,-0.9,-1.7
48:02.4,2.81,-0.84,-1.68
48:02.5,2.8,-0.77,-1.66
48:02.6,2.8,-0.69,-1.65
48:02.7,2.77,-0.65,-1.62
48:02.8,2.75,-0.68,-1.67
48:02.9,2.71,-0.7,-1.72
48:03.0,2.73,-0.67,-1.72
48:03.1,2.7,-0.66,-1.64
48:03.2,2.69,-0.58,-1.61
48:03.3,2.68,-0.52,-1.61
48:03.4,2.69,-0.56,-1.7
48:03.5,2.68,-0.57,-1.69
48:03.6,2.68,-0.56,-1.68
48:03.7,2.66,-0.56,-1.66
48:03.8,2.64,-0.48,-1.63
48:03.9,2.62,-0.4,-1.6
48:04.0,2.62,-0.08,-1.49
48:04.1,2.61,0.18,-1.42
48:04.2,2.67,0.31,-1.45
48:04.3,2.82,0.45,-1.43
48:04.4,2.87,0.55,-1.38
48:04.5,3.14,0.78,-1.34
48:04.6,3.37,1.03,-1.27
48:04.7,3.29,1.22,-1.27
48:04.8,3.2,1.38,-1.26
48:04.9,3.09,1.57,-1.24
48:05.0,3.05,1.94,-1.24
48:05.1,3,2.08,-1.23
48:05.2,2.94,2.45,-1.18
48:05.3,2.9,2.77,-1.25
48:05.4,2.77,2.69,-1.3
48:05.5,2.77,2.85,-1.31
48:05.6,2.6,3.07,-1.33
48:05.7,2.05,2.83,-1.19
48:05.8,2.28,2.51,-1.24
48:05.9,2.31,2.33,-1.16
48:06.0,2.33,2.24,-1.35
48:06.1,2.14,1.98,-1.45
48:06.2,2.17,1.74,-1.52
48:06.3,2.15,1.7,-1.57
48:06.4,2.02,1.61,-1.65
48:06.5,2.19,1.5,-1.75
48:06.6,2.34,1.54,-1.73
48:06.7,2.5,1.63,-1.75
48:06.8,2.78,1.75,-1.78
48:06.9,2.74,1.58,-1.68
48:07.0,2.71,1.53,-1.64
48:07.1,2.74,1.49,-1.57
48:07.2,2.73,1.43,-1.53
48:07.3,2.74,1.45,-1.49
48:07.4,2.73,1.47,-1.49
48:07.5,2.74,1.5,-1.48
