time,ax,ay,az,aT
0.0030,0.0491,-0.0078,0.0529,0.073
0.0030,0.0864,0.0445,0.1711,0.197
0.0030,0.0834,0.0418,-0.1388,0.167
0.0040,-0.0311,0.0343,0.0404,0.061
0.0070,0.0522,-0.0039,0.1089,0.121
0.0110,0.0871,-0.0750,0.0700,0.135
0.0170,0.0816,-0.0366,-0.1252,0.154
0.0210,-0.0826,0.0776,-0.0435,0.121
0.0260,-0.0320,0.1268,0.0399,0.137
0.0330,0.0608,0.0261,0.0942,0.115
0.0360,0.0865,-0.0595,-0.1130,0.154
0.0410,-0.0090,0.0217,-0.0907,0.094
0.0450,-0.0042,0.0950,-0.0045,0.095
0.0520,0.0052,0.0467,0.0406,0.062
0.0550,-0.0186,-0.0510,-0.1116,0.124
0.0610,-0.0564,-0.0054,-0.0941,0.110
0.0660,0.0010,0.0753,0.0467,0.089
0.0710,0.0861,-0.0108,0.0107,0.087
0.0760,0.0640,-0.0321,-0.0867,0.112
0.0800,-0.0858,0.0536,-0.0717,0.124
0.0850,-0.0851,0.0674,0.0618,0.125
0.0900,0.0199,-0.0708,0.0138,0.075
0.0950,0.0553,-0.0867,-0.0290,0.107
0.1030,0.0501,0.0635,-0.0810,0.114
0.1050,-0.0880,0.1388,0.0716,0.179
0.1090,-0.0352,-0.0213,0.0828,0.092
0.1170,-0.0041,-0.0900,-0.0152,0.091
0.1200,0.0625,-0.0607,-0.1123,0.142
0.1250,-0.0353,0.0633,0.0974,0.121
0.1290,0.0765,0.0295,-0.0315,0.088
0.1380,-0.0571,-0.0206,-0.0289,0.067
0.1390,0.0289,-0.0134,-0.1734,0.176
0.1440,-0.0758,-0.0275,0.0250,0.084
0.1570,0.0481,-0.0819,0.0319,0.100
0.1580,-0.0805,-0.0290,0.0032,0.086
0.1600,0.0200,0.0827,-0.1036,0.134
0.1640,-0.1842,0.0631,0.0491,0.201
0.1730,0.0640,-0.0821,0.0914,0.139
0.1750,0.0658,-0.0979,0.0479,0.127
0.1780,0.0368,-0.0211,-0.0735,0.085
0.1840,-0.0631,0.1357,0.0339,0.153
0.1880,0.0157,-0.0007,0.0146,0.022
0.1930,-0.0202,-0.0434,0.1237,0.133
0.2000,0.0585,-0.0550,-0.1740,0.192
0.2030,-0.1080,0.0404,0.0292,0.119
0.2080,0.0329,-0.0406,0.0455,0.069
0.2130,-0.0197,-0.0142,0.2255,0.227
0.2180,0.0541,-0.0260,-0.1869,0.196
0.2230,-0.0815,0.0217,0.0496,0.098
